title,text,summary,keywords,published_date
Florida wins first FDA approval to import cheaper drugs from Canada,"Pharmacist Thomas Jensen looks over a prescription drug at the Rock Canyon Pharmacy in Provo, Utah, on May 9, 2019.

The U.S. Food and Drug Administration on Friday approved Florida's plan to import cheaper prescription drugs from Canada, a first-in-the-nation move that could reduce costs for Americans but faces fierce opposition from the pharmaceutical industry.

The regulator also said it was committed to working with other states seeking to import drugs from Canada.

The FDA's approval of Florida's plan is a significant stride forward in a broader, yearslong effort to rein in drug costs in the U.S. Patients shell out significantly more for medicines than they do in Canada and some other countries.

Drug importation could open up a new and cheaper source of drugs beyond the retail and mail-order pharmacies that Americans typically rely on to fill prescriptions.

Along with Florida, other states such as Colorado, North Dakota and Vermont have their own drug importation plans in place, which will require FDA approvals. More than five states have asked the agency to greenlight their programs, according to the National Conference of State Legislatures.

But Florida's newly approved plan will likely face hurdles before it takes effect, including potential lawsuits from the pharmaceutical industry.

Drugmakers have long argued that importation may introduce counterfeit medicines into the U.S. supply chain and harm patients — a concern the FDA previously raised because the agency can't guarantee the safety of those drugs.

However, the FDA's Friday approval appears to have guardrails that aim to mitigate potential safety issues.

Before Florida can distribute Canadian drugs, the state must send the FDA details on the medications it plans to import, ensure that those treatments are not counterfeit or ineffective and relabel those drugs to be consistent with FDA-approved labeling.

Florida must also submit quarterly reports to the agency about cost savings and potential safety issues, among other obligations. The FDA's approval allows Florida to import drugs for two years from the date of the first drug shipment.

""These proposals must demonstrate the programs would result in significant cost savings to consumers without adding risk of exposure to unsafe or ineffective drugs,"" FDA Commissioner Robert Califf said in a statement.

The pharmaceutical industry pushed back on the FDA's move on Friday.

Pharmaceutical Research and Manufacturers of America, the industry's biggest lobbying group, called the FDA's approval of Florida's plan ""reckless"" and said it is considering ""all options for preventing this policy from harming patients.""

""Ensuring patients have access to needed medicines is critical, but the importation of unapproved medicines, whether from Canada or elsewhere in the world, poses a serious danger to public health,"" Stephen Ubl, CEO of PhRMA, said. ""Politicians need to stop getting between Americans and their health care.""

The group sued the FDA in 2020 over a Trump administration plan to import Canadian drugs, but that lawsuit was later dismissed.

President Joe Biden issued an executive order in July 2021 that included a call for the FDA to work with states on plans for importing drugs from Canada.



Don't miss these stories from CNBC PRO:",,[],2024-01-05 00:00:00
"NCAA and ESPN ink 8-year, $920 million media rights deal","An ESPN GameDay logo is displayed at the Capital One Orange Bowl game between the Georgia Bulldogs and the Florida State Seminoles at the Hard Rock Stadium in Miami Gardens, Florida, on Dec. 30, 2023.

The NCAA and ESPN have reached a new eight-year media rights deal worth more than $115 million annually, as the value of sports media rights reaches new heights.

The new agreement carries an annual value of roughly three times the current 14-year deal, which pays about $40 million annually.

An NCAA spokesperson confirmed an additional 25%, or $28.75 million annually, will help with production and marketing costs.

""ESPN and the NCAA have enjoyed a strong and collaborative relationship for more than four decades, and we are thrilled that it will continue as part of this new, long-term agreement,"" said ESPN Chairman Jimmy Pitaro.

The new deal is effective Sept. 1 and runs through 2032. It will include the rights to 40 NCAA championships — 21 women's and 19 men's events — as well as exclusive championship coverage of all rounds for women's basketball, women's volleyball, women's gymnastics, softball, baseball and FCS football. It also provides international rights to the 40 championships and the Division I men's basketball championship.

""Having one, multi-platform home to showcase our championships provides additional growth potential along with a greater experience for the viewer and our student-athletes,"" NCAA President Charlie Baker said in a statement.

As the sports media landscape changes, women's sports have been a bright spot, as they notch record ratings in recent years. ESPN has benefited through its airing of the NCAA women's basketball tournament and the WNBA playoffs, among other sports.

Endeavor's IMG and WME Sports, who consulted for the NCAA on the deal, say about 57% of the value of the deal is tied to women's college basketball specifically, Baker told the Associated Press.

The NCAA said the dramatic increase in the value of the NCAA's media rights will allow it to explore revenue distribution units for the women's basketball tournament, a topic the organization began discussing last year.

Last year, complaints of inequality overshadowed the women's tournament as several players posted on social media that their facilities were significantly worse than the men's facilities.

""Concurrent with the terms of the new media rights, several enhancements to student-athlete benefits across all three NCAA divisions will take effect, and this deal will help fund those important programs. And the national, integrated platform the family of ESPN networks provides will help grow the visibility of many NCAA sports, particularly for our women student-athletes,"" said Linda Livingstone, chair of the NCAA Board of Governors and Baylor University president.

ESPN and the NCAA's relationship has lasted more than 45 years, since ESPN launched in 1979.

The NBA has the next major professional sports rights up for grabs. The league is in negotiations with a plethora of interested parties as it looks to make its decision before the current deal expires following the 2024-25 season.



Don't miss these stories from CNBC PRO:",,[],2024-01-04 00:00:00
Coinbase is planning a pivotal acquisition that will allow it to launch crypto derivatives in the EU,"LONDON, ENGLAND - NOVEMBER 09: In this photo illustration, a flipped version of the Coinbase logo is reflected in a mobile phone screen on November 09, 2021 in London, England. The cryptocurrency exchange platform is to release its quarterly earnings today. (Photo illustration by Leon Neal/Getty Images)



Coinbase plans to offer crypto-linked derivatives in the European Union, and it's planning to acquire a company with a license to do so.

The U.S. cryptocurrency exchange told CNBC exclusively that it entered into an agreement to buy an unnamed holding company which owns a MiFID II license.

MiFID II refers to the EU's updated rules governing financial instruments. The EU updated the legislation in 2017 to address criticism that it was too focused on stocks and didn't consider other asset classes, like fixed income, derivatives and currencies.

It's part of a long-standing ambition by Coinbase to serve professional and institutional customers.

The company, which began 12 years ago, has been seeking to expand its offering to institutions such as hedge funds and high-frequency trading firms over the last several years, looking to benefit from the much higher sizes of transactions done by these kinds of traders.

If and when Coinbase completes the deal, the move would mark the first launch of derivatives trading by the company in the EU.

With a MiFID II license, Coinbase will be able to begin offering regulated derivatives, like futures and options, in the EU. The company already offers spot trading in bitcoin and other cryptocurrencies.

The deal is subject to regulatory approval and Coinbase expects it will close later in 2024.

""This license would help expand access to our derivatives products by allowing Coinbase to offer them to eligible European customers in select countries across the EU,"" Coinbase said in a blog post, which was shared exclusively with CNBC on Friday.

""As the industry leader in trusted, compliant products and services, we aim for the highest standards for regulatory compliance, and before operationalizing any license or serving any users, this entity must achieve our Five-point Global Compliance Standard.""",,[],2024-01-05 00:00:00
Crypto firms introduce risk assessments and finance tests in response to strict new rules in UK,"CEO of cryptocurrency platform Coinbase Brian Armstrong attends a reception at Buckingham Palace, in central London, on November 27, 2023 to mark the conclusion of the Global Investment Summit (GIS). (Photo by Daniel LEAL / POOL / AFP) (Photo by DANIEL LEAL/POOL/AFP via Getty Images)

Coinbase , Crypto.com, Gemini and other cryptocurrency exchanges are warning users in the U.K. that they'll need to start filling out risk assessments and investment questionnaires aimed at testing their financial knowledge.

It comes ahead of tough new rules on the advertising of digital asset products in the country.

The firms have told users in Britain that, starting Monday, they will be required to complete a declaration about what type of investor they are, and respond to a questionnaire on a range of aspects of financial services and regulation to continue using their respective platforms.

In the customer declaration section, users are asked to select their investor profile: either a high net worth individual earning above £100,000 (roughly $126,700) annually or with a net worth of more than £250,000, or a ""restricted investor"" who won't invest more than 10% of their assets. Otherwise, they cannot trade crypto.

The financial questionnaires, which vary from exchange to exchange, require users to respond to numerous queries about what range of products the firms offer, the volatile nature of crypto asset prices and the treatment of crypto as a product by financial regulators.

If a customer fails to complete the tasks successfully, they will be prevented from trading with their crypto account.

Since the passing of the Financial Services and Markets Act, a major package of financial services reforms in the U.K., firms that offer crypto and a certain type of digital currency called stablecoins are now covered by the law and must adhere to the same rules as those that govern traditional financial services.

Since Oct. 8, firms seeking to promote cryptoassets in the U.K. to retail customers must be authorized or registered with the country's Financial Conduct Authority, or have their marketing approved by an FCA-authorized firm.

Coinbase said the changes were made ""to ensure we are meeting UK investor protection standards, which require our users to have the necessary knowledge to make informed investment decisions.""

""This process is also part of Coinbase's commitment to working collaboratively with local regulators so that we can best serve our users now and in the future,"" a Coinbase spokesperson told CNBC via email.

A Crypto.com spokesperson gave similar reasoning for the move, saying its changes were made ""primarily to ensure customers understand the risks of investing in cryptocurrency, which is a key component of the important consumer protections being put in place by the FCA.""

""We do not expect this to impact user activity in the UK and as always our customer service team is on hand to help with any queries,"" George Tucker, U.K. general manager of Crypto.com, told CNBC via email.

""As an authorised Electronic Money Institution and registered cryptoasset business in the U.K., Crypto.com supports and complies with the FCA's rules and will continue to work with the regulator as we expand our product offering here,"" Tucker added.",,[],2024-01-05 00:00:00
Jobless rate for Black Americans declines to 5.2% to end 2023 on a positive note,"A networking and hiring event for professionals of color in Minneapolis, MN. Michael Siluk | Getty Images

The unemployment rate for Black Americans fell significantly in December, closing out 2023 on a positive note, according to data released Friday by the Department of Labor. Black Americans, the group with the highest jobless percentage in the country, saw their unemployment rate dip to 5.2% last month from 5.8% in November. Still, that's higher than the overall unemployment rate, which held at 3.7% last month, as well as the 3.5% jobless rate for white Americans.",,[],2024-01-05 00:00:00
Why Palo Alto Networks hitting $100 billion in market value is just the beginning,"Palo Alto Networks this month became the first cybersecurity company to eclipse $100 billion in market value. We believe it can get plenty bigger. On Dec. 14, it traded above market cap milestone for the first time when shares hit an all-time intraday high of $318 each. The stock has yet to close above that level. Hitting the $100 billion mark was a long-held goal CEO Nikesh Arora, but should be viewed as a new beginning, not an end. Shares could move higher in 2024 even if the operating environment proves more challenging. Palo Alto is the ""winner and new champion of cybersecurity,"" Jim Cramer said recently. PANW YTD mountain Palo Alto Networks (PANW) year-to-date performance While PANW shares have cooled off a bit recently, the company's leadership in the industry, coupled with strong demand and a robust customer base, will serve it well in the new year. First, we like investing in cybersecurity, a secular theme expected to grow in the coming years, regardless of the economic backdrop. And Palo Alto has shown it can perform during uncertain times — with interest rates at 22-year highs — and will continue to do so as the Federal Reserve looks to cut rates in 2024. Cybersecurity threats to companies are only going in one direction: up. ""This year has been a phenomenal year for cybersecurity stocks,"" Arora told Jim in a recent interview , arguing that more companies will rely on the kinds of services Palo Alto provides. ""And I think it's just the beginning."" Shares of Palo Alto have more than doubled in price throughout 2023, up a whopping 116%. Despite the corporate needs for cybersecurity, we are aware that spending could get cut if we tip into a recession next year. On top of that, the high cost of money and customers seeking shorter-term duration contracts are potential headwinds. This was one reason for the billings pressure last quarter , which hit the stock price. We said to look past it and to buy off the weakness, focusing instead on the low churn and strong remaining performance obligation growth (revenue that has been contracted but not yet invoiced.) Still, it is something we're monitoring. Palo Alto does minimize wild swings in its performance by offering diverse and less-cyclical revenue channels — a strategy that sets it apart from more narrowly focused peers like Fortinet and Tenable . It is also taking advantage of the trend of companies consolidating their budgets around the largest and best names like Palo Alto that offer a wide array of security solutions. As Jim previously remarked, Palo Alto is the only ""real soup-to-nuts cyber play."" Morgan Stanley analysts said Palo Alto's artificial intelligence capabilities give it an edge over the competition. ""With large unique data sets and market leadership across multiple major security categories, we think PANW is best positioned among the pure-play security vendors to deliver AI-driven security automation, which underpins the path beyond $100 billion,"" the analysts wrote in a recent research note. Although AI is not a core part of the Club's investment thesis for Palo Alto, we like management's progress in this fast-growing business. Finally, we think regulation will play a role in boosting demand for Palo Alto's products in 2024. The Securities and Exchange Commission recently issued new rules for publicly-listed U.S. companies, requiring them to file Form 8-K reports after a material cybersecurity incident. As businesses begin to comply with this new mandate, which went into effect last week, analysts argue that many will upgrade their Security Operations Centers (SOC). As a result, companies will need to invest in SOC and other cybersecurity infrastructure offered by cybersecurity firms like Palo Alto to meet these regulatory requirements. (Jim Cramer's Charitable Trust is long PANW . See here for a full list of the stocks.) As a subscriber to the CNBC Investing Club with Jim Cramer, you will receive a trade alert before Jim makes a trade. Jim waits 45 minutes after sending a trade alert before buying or selling a stock in his charitable trust's portfolio. If Jim has talked about a stock on CNBC TV, he waits 72 hours after issuing the trade alert before executing the trade. THE ABOVE INVESTING CLUB INFORMATION IS SUBJECT TO OUR TERMS AND CONDITIONS AND PRIVACY POLICY , TOGETHER WITH OUR DISCLAIMER . NO FIDUCIARY OBLIGATION OR DUTY EXISTS, OR IS CREATED, BY VIRTUE OF YOUR RECEIPT OF ANY INFORMATION PROVIDED IN CONNECTION WITH THE INVESTING CLUB. NO SPECIFIC OUTCOME OR PROFIT IS GUARANTEED.

Arora Nikesh, Palo Alto Networks CEO & Chairman at the WEF in Davos, Switzerland on May 23rd, 2022. Adam Galica | CNBC",,[],2023-12-29 00:00:00
Vans owner VF Corp. shares tumble as it says cyberattack could hamper holiday fulfillment,"Shares of The North Face and Vans owner VF Corp . tumbled Monday after the company reported that a hack had affected its ability to fulfill some orders ahead of the holidays.

The company said hackers encrypted ""some"" systems and made off with personal data. Those are some hallmarks of ransomware, where attackers try to extort companies in exchange for hefty payment. VF Corp. declined to comment on whether the incident was a ransomware attack.

The stock closed down more than 7% Monday.

VF Corp. announced the incident on the same day that the U.S. Securities and Exchange Commission's new cyber disclosure rules took effect. Those regulations mandate that companies report ""material cybersecurity incidents"" to their investors within four days of determining that a hack would have an effect on their bottom lines. VF Corp. first identified hackers in its system on Dec. 13, meaning it took relatively little time for the company to identify the threat as material.

The attack is expected to hit the company's operations in the lead up to the critical holiday shopping period. The company said the breach has affected its ability to fulfill orders, but customers will still be able to place them online.

The full scope of the attack is still not known, and it will likely continue to have a material impact until recovery efforts are complete, the company said.

The new SEC rules are designed to give investors a clearer picture of how attacks can harm businesses. When casino firm Caesars Entertainment was breached earlier this year, for example, the company quietly paid a $15 million ransom, sources previously told CNBC. Only after MGM Resorts was hit by the same attacker did Caesars disclose that it had been affected.

Under the new disclosure obligations, Caesars likely would have had to report the hack and the payment much earlier. Regulators and law enforcement strongly discourage companies from paying ransoms. But given the debilitating effects that cyber disruptions can have, many companies do so anyway.

VF Corp. is the latest major company to be hit a by cyberattack that disrupted company operations. In addition to Caesars and MGM, Clorox was hit by a breach that prevented the company from keeping its items on store shelves earlier this year.",,[],2023-12-18 00:00:00
"17-year-old used $2,000 in savings to start an Amazon side hustle—now it brings in $34,000 a month","Bella Lin, 17, started a side hustle to give her guinea pigs more quality of life. Last year, it brought in more than $410,000 in revenue.

At age 12, Bella Lin had a problem. Her guinea pigs were disappearing. In those days, Lin let her three guinea pigs roam her parents' grassy, fenced-in backyard just outside of San Francisco. It was better than the alternative, she thought: The two-pound creatures ""looked miserable"" in their cramped, ""prison-barred"" cage, Lin, now 17, tells CNBC Make It. She assumed the first, Snoopy, had escaped and she continued letting her guinea pigs outside — until her dad watched an eagle fly away with another, she recalls. Determined to keep the pets out of traditional cages, she started drawing prototypes. Lin, a senior at Khan Lab School in Mountain View, California, went through several models and invested roughly $2,000 from her savings to launch her side hustle GuineaLoft on Amazon in November 2022. It sold nearly 11,000 cages and brought in more than $410,000 last year — roughly $34,000 per month, on average — according to documents reviewed by Make It. In addition to a full academic course load, extracurriculars and college applications, Lin works about 20 hours per week on GuineaLoft, she says. Here's how she built a side hustle so successful that she's considering delaying college to concentrate on her business.

An unprofitable side hustle led to an 'epiphany'

Lin told her dad, a computer programmer, that she wanted to create a better cage. He had a connection to a family-owned factory in China through a former client, and he made an introduction, Lin says. After a year of mocking up prototypes, Lin got distracted by a different idea: She wanted to sell athleisure for girls at a lower price point than large, trendy brands. She researched, found another factory in China, connected with it, and made a business plan to sell leggings starting at $23.

GuineaLoft's first prototypes were built from her parents' dining room table using office supplies, Lin says. Bella Lin

That side hustle, called TLeggings, launched in July 2019. It brought in roughly $300,000 in revenue in 2020, she says. It also earned Lin a spot at BizWorld, a project-based entrepreneurship program for 16- to 22-year-olds. She completed a 12-week curriculum and worked with a business mentor, but failed to win the pitching contest — and any prize money — at the end of the program. It was one of a few signs that TLeggings was fizzling out: Despite the lofty revenue numbers, the company was never profitable, and Lin struggled to keep up with her competitors. She shuttered it in early 2022, and refocused on GuineaLoft. ""I had a weird epiphany [where] I kind of realized there are a lot of other companies trying to [make leggings],"" Lin says. ""There was no innovation there, whereas with GuineaLoft, I could fill a really big gap in the market.""

Tinkering between classes and late at night

Lin realized her early prototypes were promising, but imperfect. Traditional guinea pig cages are made with bars, roofs and either tarp or plastic bottoms. They are difficult to clean, Lin says, and often reek of excrement. Her early glass, open-floor enclosures allowed for more visibility and mobility, and featured a two-tiered bottom. Dirty bedding could be pushed into a removable plastic tray. But the glass was too expensive to ship, and her smaller guinea pigs' feet got stuck in the floor.

Lin's pets roaming around freely in their GuineaLoft enclosures Bella Lin

Lin rearranged her schedule so she could do her homework in between periods at school. She stayed up late to research and virtually test products with her six-person team in China — a manufacturing lead who works for the factory, and five full-time GuineaLoft employees who'd previously worked with Lin's dad or the factory's leadership. Those six people source, manufacture, package and photograph the products, says Lin. She manages GuineaLoft's product design, pricing, marketing — TLeggings taught her a lot about social media in particular, she says — and overall business strategy. Ultimately the company went with acrylic instead of glass and constructed replaceable bottoms from biodegradable, wax-coated paper — similar, Lin says, to ""airplane barf bags."" The bottoms are easy to throw out, which is good for business: Once satisfied GuineaLoft customers run out, they have to come back to Lin's Amazon store to restock.

Winning a $10,000 competition

The factory produced 100 cages in its first batch. Lin was elated when three sold in the first couple of hours. Within two weeks, GuineaLoft all 100 were gone ""with no marketing,"" she says. She re-applied to BizWorld last year, and won $10,000 in investment funds from the pitching competition. That money will go toward adding accessories and new cages for different types of small pets, like rabbits and hamsters, she says.

Lin has owned guinea pigs for years, and has kept up to 10 at one time, she says. Bella Lin",,[],2024-01-05 00:00:00
"Trump received at least $7.8 million in payments from foreign governments as president, House Democrats say","Former U.S. President and Republican presidential candidate Donald Trump speaks at the fall convention of the California Republican Party in Anaheim, California, September 29, 2023. Mike Blake | Reuters

WASHINGTON — Former President Donald Trump received at least $7.8 million in payments from foreign governments during two of his four years in the White House, according to a report released Thursday by Democrats on the House Oversight Committee. At least 20 foreign governments made the payments to Trump's businesses during the two-year period that the committee was able to review. The information in the report was first reported by The New York Times and CNN. Rep. Jamie Raskin, D-Md., the ranking member on the Oversight Committee, said in a foreword that the payments came from ""some of the world's most unsavory regimes,"" with China being the leading spender, paying more than $5.5 million to Trump-owned properties, according to the report. Trump also received payments from Saudi Arabia, Qatar, Kuwait, India and Afghanistan, the report said. ""This is a limited window on a far-broader universe of foreign government spending that took place,"" Raskin told reporters Thursday on Capitol Hill.

Ranking member of the House Oversight Committee Rep. Jamie Raskin (D-MD) speaks during a media briefing concerning former President Donald Trump's business ties with foreign governments, on Capitol Hill January 4, 2024 in Washington, DC. Drew Angerer | Getty Images

Raskin said in the report that the information demonstrates that Trump violated the Constitution's foreign emoluments clause, which he said prohibits the president from accepting money payments or gifts ""'of any kind whatever' from foreign governments and monarchs unless he obtains 'the Consent of the Congress' to do so."" ""Yet Donald Trump, while holding the office of president, used his business entities to pocket millions of dollars from foreign states and royalty and never once went to Congress to seek its consent,"" Raskin wrote. More from NBC News: As calls grow for a tougher response to Houthi attacks on Red Sea ships, Biden officials meet to discuss military options

Biden campaign previews Jan. 6-focused speech with new TV ad

Congressional leaders see new hope for a spending deal to prevent a shutdown Raskin said that the $7.8 million is ""almost certainly only a fraction of Trump's harvest of unlawful foreign state money, but this figure in itself is a scandal and a decisive spur to action."" The payments were made to properties owned by Trump, according to the report, including his hotels in Washington, D.C., Las Vegas and New York City. The report said ""these countries spent — often lavishly — on apartments and hotel stays at Donald Trump's properties — personally enriching President Trump while he made foreign policy decisions connected to their policy agendas with far-reaching ramifications for the United States.""

A sign depicting a check from the Embassy of the State of Kuwait, is seen at a news conference in Rayburn Building with Reps. Jamie Raskin, D-Md., ranking member of the House Oversight and Accountability Committee, Robert Garcia, D-Calif., and Jasmine Crockett, D-Texas, on a report by committee Democrats on a ""multi-year investigation into payments accepted by former President Trump's businesses from foreign governments during his term in office, in violation of the Constitution,"" on Thursday, January 4, 2024. Tom Williams | Cq-roll Call, Inc. | Getty Images",,[],2024-01-04 00:00:00
Houthi attacks and U.S. strikes add to concerns of broader conflict in the Middle East,"Houthi military helicopter flies over the Galaxy Leader cargo ship in the Red Sea in this photo released on Nov. 20, 2023.

Yemen's Houthi rebels launched fresh attacks on cargo ships in the Red Sea, while the U.S. carried out strikes against targets in Iraq, amid fears that the war in the Gaza Strip could engulf the Middle East.

The U.S. military carried out retaliatory strikes against three installations in Iraq linked to Kataib Hezbollah on Monday, the Pentagon announced, after three American service personnel were injured in a one-way drone attack carried out by the Iran-aligned militant group.

U.S. Secretary of Defense Lloyd Austin said in a statement that there is ""no higher priority"" than the protection of American troops and interests.

""While we do not seek to escalate conflict in the region, we are committed and fully prepared to take further necessary measures to protect our people and our facilities,"" Austin added.

The Iraqi government criticized the U.S. strikes as ""an unacceptable violation of Iraqi sovereignty"" and emphasized that attacks by armed groups against military bases that house U.S.-led coalition advisors are deemed to be hostile acts and violate Iraqi sovereignty, a government statement said, according to Reuters

Tensions continued to stoke in the Red Sea. On Tuesday, Houthi militants, also backed by Iran, launched a fresh drone attack against a container ship operated by MSC that was heading for Pakistan.

""The naval forces of the Yemeni Armed Forces carried out a targeting operation against the commercial ship, 'MSC UNITED,' with appropriate naval missiles,"" Yahya Sare'e, spokesperson for the Yemeni Armed Forces, said in a post on the X social media platform, formerly known as Twitter.",,[],2023-12-27 00:00:00
